gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1,0,1,1,0.880734693482843,1,2,0,0,2,0,2,2,0,1,1,2,0.19736523310080326,0.6574797694641122
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,2,0,0,1,2,0.5247392421335293,-0.9702425496164933
1,0,0,0,-0.7888002190384014,1,0,2,1,1,1,1,1,1,1,0,1,-1.5109620830699715,-0.891226688892717
0,1,1,1,-0.3408762181180675,1,0,1,0,0,2,0,2,2,2,1,2,1.0565142821866886,-0.007184356573884383
0,1,0,0,-1.0738427650786138,1,0,1,2,0,0,0,0,0,0,1,2,0.31036742911209936,-0.80685045570778
1,1,1,0,0.22920887396235737,1,2,1,0,2,2,0,2,2,0,1,2,1.2575917192067896,0.7630107235965928
0,0,0,0,-0.8295205827584317,1,0,1,2,0,0,0,2,0,1,1,1,0.677624566148813,-0.5738396972417698
1,0,0,0,-0.2594354906780068,0,1,0,2,2,0,0,0,2,0,1,0,-0.6684310039857471,-0.4955297291877759
0,0,1,1,-1.0738427650786138,0,1,0,0,2,2,2,0,0,2,0,3,-0.8046983579993692,-0.9098225489122992
1,0,1,1,1.4100994218432374,1,2,1,0,2,2,0,0,0,1,0,2,0.7524054311562884,1.6054936249819822
1,1,1,0,1.2064976032430856,1,2,1,0,2,2,0,2,2,1,1,2,1.2958130502106107,1.8104451498241392
1,0,1,1,0.7178532386027215,0,1,0,2,0,0,0,2,0,0,1,1,-0.8412578920030237,-0.11399474117034576
1,0,1,1,1.6137012404433893,0,1,0,2,2,2,2,2,2,2,1,0,0.0295237360840249,1.0521178901643797
0,1,1,1,-0.055833672077855064,1,0,1,0,0,2,2,2,2,0,1,2,1.1346187411944968,0.27863599725022786
1,0,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.9052907551715716,1.9863888977674218
1,0,0,0,0.758573602322752,0,1,0,2,0,0,2,0,2,0,1,1,-0.6750781919864114,-0.043317237608374894
